,unnamed:_0,ticker,open,close,adj_close,low,high,volume,date,est_N4,Actual Diff,Direction
1742,96211,AAPL,109.1699982,109.9000015,106.9326782,108.8499985,110.0899963,26528000,12/2/2016,106.0229073,0,0
1743,96216,AAPL,110,109.1100006,106.1639938,108.25,110.0299988,34324500,12/5/2016,105.9742737,-0.7686844,0
1744,96231,AAPL,109.5,109.9499969,106.9813156,109.1900024,110.3600006,26195500,12/6/2016,105.8623734,0.8173218,1
1745,96235,AAPL,109.2600021,111.0299988,108.0321503,109.1600037,111.1900024,29998700,12/7/2016,106.7964439,1.0508347,1
1746,96251,AAPL,110.8600006,112.1200027,109.0927277,110.5999985,112.4300003,27068300,12/8/2016,108.056469,1.0605774,1
1747,96255,AAPL,112.3099976,113.9499969,110.8733215,112.3099976,114.6999969,34402600,12/9/2016,110.0268059,1.7805938,1
1748,96270,AAPL,113.2900009,113.3000031,110.2408676,112.4899979,115,26374400,12/12/2016,111.9290276,-0.6324539,0
1749,96274,AAPL,113.8399963,115.1900024,112.079834,113.75,115.9199982,43733800,12/13/2016,111.6614532,1.8389664,1
1750,96288,AAPL,115.0400009,115.1900024,112.079834,114.9800034,116.1999969,34031800,12/14/2016,112.653904,0,0
1751,96292,AAPL,115.3799973,115.8199997,112.6928253,115.2300034,116.7300034,46524500,12/15/2016,112.6830902,0.6129913,1
1752,96313,AAPL,116.4700012,115.9700012,112.838768,115.6500015,116.5,44351100,12/16/2016,113.6123085,0.1459427,1
1753,96317,AAPL,115.8000031,116.6399994,113.4906845,115.75,117.3799973,27779400,12/19/2016,113.1452637,0.6519165,1
1754,96652,AAPL,116.7399979,116.9499969,113.7923126,116.6800003,117.5,21425000,12/20/2016,113.8701515,0.3016281,1
1755,96656,AAPL,116.8000031,117.0599976,113.8993378,116.7799988,117.4000015,23783200,12/21/2016,114.1912422,0.1070252,1
1756,96707,AAPL,116.3499985,116.2900009,113.1501389,115.6399994,116.5100021,26085900,12/22/2016,114.3761101,-0.7491989,0
1757,96711,AAPL,115.5899963,116.5199966,113.3739166,115.5899963,116.5199966,14181200,12/23/2016,113.3544655,0.2237777,1
1758,96728,AAPL,116.5199966,117.2600021,114.0939484,116.4899979,117.8000031,18296900,12/27/2016,113.0528297,0.7200318,1
1759,96732,AAPL,117.5199966,116.7600021,113.6074448,116.1999969,118.0199966,20905900,12/28/2016,113.8312378,-0.4865036,0
1760,96747,AAPL,116.4499969,116.7300034,113.5782471,116.4000015,117.1100006,15039500,12/29/2016,114.0793495,-0.0291977,0
1761,96751,AAPL,116.6500015,115.8199997,112.6928253,115.4300003,117.1999969,30586300,12/30/2016,113.6950111,-0.8854218,0
1762,96765,AAPL,115.8000031,116.1500015,113.013916,114.7600021,116.3300018,28781900,1/3/2017,112.4349747,0.3210907,1
1763,96769,AAPL,115.8499985,116.0199966,112.887413,115.75,116.5100021,21118100,1/4/2017,112.5566063,-0.126503,0
1764,96784,AAPL,115.9199982,116.6100006,113.4615021,115.8099976,116.8600006,22193600,1/5/2017,112.6052475,0.5740891,1
1765,96788,AAPL,116.7799988,117.9100037,114.7264023,116.4700012,118.1600037,31751900,1/6/2017,113.5587959,1.2649002,1
1766,96803,AAPL,117.9499969,118.9899979,115.7772369,117.9400024,119.4300003,33561900,1/9/2017,114.9501953,1.0508346,1
1767,96809,AAPL,118.7699966,119.1100006,115.8939972,118.3000031,119.3799973,24462100,1/10/2017,116.6967316,0.1167603,1
1768,96926,AAPL,118.7399979,119.75,116.5167084,118.5999985,119.9300003,27588600,1/11/2017,117.0518646,0.6227112,1
1769,96930,AAPL,118.9000015,119.25,116.0302124,118.2099991,119.3000031,27086200,1/12/2017,117.1005058,-0.486496,0
1770,96945,AAPL,119.1100006,119.0400009,115.825882,118.8099976,119.6200027,26111900,1/13/2017,116.3999481,-0.2043304,0
1771,96949,AAPL,118.3399963,120,116.7599716,118.2200012,120.2399979,34439800,1/17/2017,115.8939896,0.9340896,1
1772,96963,AAPL,120,119.9899979,116.7502289,119.7099991,120.5,23713000,1/18/2017,116.4145584,-0.0097427,0
1773,96967,AAPL,119.4000015,119.7799988,116.5458984,119.3700027,120.0899963,25597300,1/19/2017,117.1151085,-0.2043305,0
1774,96981,AAPL,120.4499969,120,116.7599716,119.7300034,120.4499969,32597900,1/20/2017,117.0080719,0.2140732,1
1775,96985,AAPL,120,120.0800018,116.8377991,119.7699966,120.8099976,22050200,1/23/2017,116.652935,0.0778275,1
1776,97001,AAPL,119.5500031,119.9700012,116.7307739,119.5,120.0999985,23211000,1/24/2017,116.8426704,-0.1070252,0
1777,97005,AAPL,120.4199982,121.8799973,118.5891953,120.2799988,122.0999985,32377600,1/25/2017,116.8767242,1.8584214,1
1778,97019,AAPL,121.6699982,121.9400024,118.647583,121.5999985,122.4400024,26337600,1/26/2017,118.5745964,0.0583877,1
1779,97023,AAPL,122.1399994,121.9499969,118.6573029,121.5999985,122.3499985,20562900,1/27/2017,119.5232811,0.0097199,1
1780,97039,AAPL,120.9300003,121.6299973,118.3459473,120.6600037,121.6299973,30377500,1/30/2017,119.6157074,-0.3113556,0
1781,97043,AAPL,121.1500015,121.3499985,118.0735168,120.6200027,121.3899994,49201000,1/31/2017,118.3800011,-0.2724305,0
1782,97058,AAPL,127.0299988,128.75,125.2737045,127.0100021,130.4900055,111985000,2/1/2017,117.922699,7.2001877,1
1783,97063,AAPL,127.9800034,128.5299988,125.0596542,127.7799988,129.3899994,33710400,2/2/2017,124.9818115,-0.2140503,0
1784,97078,AAPL,128.3099976,129.0800018,125.5948029,128.1600037,129.1900024,24507300,2/3/2017,128.5235329,0.5351487,1
1785,97082,AAPL,129.1300049,130.2899933,126.7721252,128.8999939,130.5,26845900,2/6/2017,129.0878716,1.1773223,1
1786,97097,AAPL,130.5399933,131.5299988,127.9786301,130.4499969,132.0899963,38183800,2/7/2017,126.9326744,1.2065049,1
1787,97101,AAPL,131.3500061,132.0399933,128.4748688,131.2200012,132.2200012,23004100,2/8/2017,128.8348656,0.4962387,1
1788,97116,AAPL,131.6499939,132.4199982,129.4032288,131.1199951,132.4499969,28349900,2/9/2017,129.6667824,0.92836,1
1789,97120,AAPL,132.4600067,132.1199951,129.1100769,132.0500031,132.9400024,20065500,2/10/2017,130.2546005,-0.2931519,0
1790,97144,AAPL,133.0800018,133.2899933,130.253418,132.75,133.8200073,23035400,2/13/2017,129.8223763,1.1433411,1
1791,97148,AAPL,133.4700012,135.0200043,131.9440155,133.25,135.0899963,33226200,2/14/2017,130.571022,1.6905975,1
1792,97149,AAPL,135.5200043,135.5099945,132.4228363,134.6199951,136.2700043,35623100,2/15/2017,132.3691101,0.4788208,1
1793,97150,AAPL,135.6699982,135.3500061,132.2664948,134.8399963,135.8999939,22584600,2/16/2017,133.8398056,-0.1563415,0
1794,97151,AAPL,135.1000061,135.7200012,132.628067,135.1000061,135.8300018,22198200,2/17/2017,133.3512039,0.3615722,1
1795,97152,AAPL,136.2299957,136.6999969,133.5857239,135.9799957,136.75,24507200,2/21/2017,132.7893066,0.9576569,1
1796,97153,AAPL,136.4299927,137.1100006,133.9863892,136.1100006,137.1199951,20836900,2/22/2017,133.6883392,0.4006653,1
1797,97154,AAPL,137.3800049,136.5299988,133.4196014,136.3000031,137.4799957,20788200,2/23/2017,134.6460037,-0.5667878,0
1798,97155,AAPL,135.9100037,136.6600037,133.5466614,135.2799988,136.6600037,21776600,2/24/2017,134.0987625,0.12706,1
1799,97156,AAPL,137.1399994,136.9299927,133.8104706,136.2799988,137.4400024,20257400,2/27/2017,133.4636002,0.2638092,1
1800,97157,AAPL,137.0800018,136.9900055,133.8691101,136.6999969,137.4400024,23482900,2/28/2017,133.5906067,0.0586395,1
1801,97158,AAPL,137.8899994,139.7899933,136.6053314,137.6000061,140.1499939,36414600,3/1/2017,134.0645447,2.7362213,1
1802,97159,AAPL,140,138.9600067,135.7942505,138.7599945,140.2799988,26211000,3/2/2017,136.7665558,-0.8110809,0
1803,97160,AAPL,138.7799988,139.7799988,136.5955658,138.5899963,139.8300018,21108100,3/3/2017,137.1916809,0.8013153,1
1804,97161,AAPL,139.3699951,139.3399963,136.1655731,138.6000061,139.7700043,21750000,3/6/2017,137.558136,-0.4299927,0
1805,97162,AAPL,139.0599976,139.5200043,136.3414764,138.7899933,139.9799957,17446300,3/7/2017,136.1606903,0.1759033,1
1806,97163,AAPL,138.9499969,139,135.8333435,138.8200073,139.8000031,18707200,3/8/2017,136.5271378,-0.5081329,0
1807,97164,AAPL,138.7400055,138.6799927,135.5205994,137.0500031,138.7899933,22155900,3/9/2017,135.7062988,-0.3127441,0
1808,97165,AAPL,139.25,139.1399994,135.9701385,138.6399994,139.3600006,19612800,3/10/2017,135.3544846,0.4495391,1
1809,97166,AAPL,138.8500061,139.1999969,136.0287476,138.8200073,139.4299927,17421700,3/13/2017,135.5597,0.0586091,1
1810,97167,AAPL,139.3000031,138.9900055,135.8235474,138.8399963,139.6499939,15309100,3/14/2017,136.0971451,-0.2052002,0
1811,97168,AAPL,139.4100037,140.4600067,137.2600708,139.0299988,140.75,25691800,3/15/2017,136.0776215,1.4365234,1
1812,97169,AAPL,140.7200012,140.6900024,137.4848175,140.2599945,141.0200043,19232000,3/16/2017,137.1867752,0.2247467,1
1813,97170,AAPL,141,139.9900055,136.8007965,139.8899994,141,43885000,3/17/2017,138.1004791,-0.684021,0
1814,97171,AAPL,140.3999939,141.4600067,138.2373047,140.2299957,141.5,21542000,3/20/2017,137.6314316,1.4365082,1
1815,97172,AAPL,142.1100006,139.8399963,136.6541901,139.7299957,142.8000031,39529900,3/21/2017,138.0076675,-1.5831146,0
1816,97173,AAPL,139.8500061,141.4199982,138.1982117,139.7599945,141.6000061,25860200,3/22/2017,137.0304337,1.5440216,1
1817,97174,AAPL,141.2599945,140.9199982,137.7095795,140.6100006,141.5800018,20346300,3/23/2017,138.1249084,-0.4886322,0
1818,97175,AAPL,141.5,140.6399994,137.4359741,140.3500061,141.7400055,22395600,3/24/2017,137.690033,-0.2736054,0
1819,97176,AAPL,139.3899994,140.8800049,137.6705322,138.6199951,141.2200012,23575100,3/27/2017,137.9636688,0.2345581,1
1820,97177,AAPL,140.9100037,143.8000031,140.5239868,140.6199951,144.0399933,33374800,3/28/2017,137.2894135,2.8534546,1
1821,97178,AAPL,143.6799927,144.1199951,140.8367004,143.1900024,144.4900055,29190000,3/29/2017,140.5044632,0.3127136,1
1822,97179,AAPL,144.1900024,143.9299927,140.6510162,143.5,144.5,21207300,3/30/2017,142.3807068,-0.1856842,0
1823,97180,AAPL,143.7200012,143.6600037,140.3871765,143.0099945,144.2700043,19661700,3/31/2017,142.2341003,-0.2638397,0
1824,97181,AAPL,143.7100067,143.6999969,140.4262543,143.0500031,144.1199951,19985700,4/3/2017,140.4506912,0.0390778,1
1825,97182,AAPL,143.25,144.7700043,141.4718781,143.1699982,144.8899994,19891400,4/4/2017,140.2014923,1.0456238,1
1826,97183,AAPL,144.2200012,144.0200043,140.7389832,143.8099976,145.4600067,27717900,4/5/2017,141.3594971,-0.7328949,0
1827,97184,AAPL,144.2899933,143.6600037,140.3871765,143.4499969,144.5200043,21149000,4/6/2017,141.2813339,-0.3518067,0
1828,97185,AAPL,143.7299957,143.3399963,140.0744629,143.2700043,144.1799927,16672200,4/7/2017,140.543541,-0.3127136,0
1829,97186,AAPL,143.6000061,143.1699982,139.9083252,142.8999939,143.8800049,18933400,4/10/2017,139.5321121,-0.1661377,0
1830,97187,AAPL,142.9400024,141.6300049,138.4034271,140.0599976,143.3500061,30379400,4/11/2017,139.5760651,-1.5048981,0
1831,97188,AAPL,141.6000061,141.8000031,138.5695496,141.0099945,142.1499939,20350000,4/12/2017,138.1640015,0.1661225,1
1832,97189,AAPL,141.9100037,141.0500031,137.8366241,141.0500031,142.3800049,17822900,4/13/2017,137.7340317,-0.7329255,0
1833,97190,AAPL,141.4799957,141.8300018,138.5988617,140.8699951,141.8800049,16582100,4/17/2017,137.1672363,0.7622376,1
1834,97191,AAPL,141.4100037,141.1999969,137.9832001,141.1100006,142.0399933,14697500,4/18/2017,138.3154602,-0.6156616,0
1835,97192,AAPL,141.8800049,140.6799927,137.4750519,140.4499969,142,17328400,4/19/2017,137.9978561,-0.5081482,0
1836,97193,AAPL,141.2200012,142.4400024,139.1949615,141.1600037,142.9199982,23319600,4/20/2017,137.5483398,1.7199096,1
1837,97211,AAPL,142.4400024,142.2700043,139.0288544,141.8500061,142.6799927,17320900,4/21/2017,138.6330566,-0.1661071,0
1838,97215,AAPL,143.5,143.6399994,140.36763,143.1799927,143.9499969,17134300,4/24/2017,139.6347351,1.3387756,1
1839,97216,AAPL,143.9100037,144.5299988,141.2373505,143.8699951,144.8999939,18871500,4/25/2017,141.1445313,0.8697205,1
1840,97217,AAPL,144.4700012,143.6799927,140.406723,143.3800049,144.6000061,20041200,4/26/2017,141.8236847,-0.8306275,0
1841,97218,AAPL,143.9199982,143.7899933,140.5141907,143.3099976,144.1600037,14246300,4/27/2017,141.5109711,0.1074677,1
1842,97219,AAPL,144.0899963,143.6499939,140.3773804,143.2700043,144.3000031,20860400,4/28/2017,140.5337372,-0.1368103,0
1843,97220,AAPL,145.1000061,146.5800018,143.2406464,144.9600067,147.1999969,33602900,5/1/2017,140.0158005,2.863266,1
1844,97221,AAPL,147.5399933,147.5099945,144.1494751,146.8399963,148.0899963,45352200,5/2/2017,143.225975,0.9088287,1
1845,97222,AAPL,145.5899963,147.0599976,143.7097015,144.2700043,147.4900055,45697000,5/3/2017,145.5127029,-0.4397736,0
1846,97223,AAPL,146.5200043,146.5299988,143.1917725,145.8099976,147.1399994,23371900,5/4/2017,145.5957489,-0.517929,0
1847,97224,AAPL,146.7599945,148.9600067,145.5664215,146.7599945,148.9799957,27327700,5/5/2017,143.4263,2.374649,1
1848,97238,AAPL,149.0299988,153.0099945,149.5241394,149.0299988,153.6999969,48752400,5/8/2017,145.0875702,3.9577179,1
1849,97242,AAPL,153.8699951,153.9900055,150.481842,153.4499969,154.8800049,39130400,5/9/2017,150.4524994,0.9577026,1
1850,97257,AAPL,153.6300049,153.2599945,149.7684479,152.1100006,153.9400024,25805700,5/10/2017,153.6480255,-0.7133941,0
1851,97261,AAPL,152.4499969,153.9499969,151.0637054,152.3099976,154.0700073,27255100,5/11/2017,152.2261581,1.2952575,1
1852,97275,AAPL,154.6999969,156.1000061,153.1734009,154.6699982,156.4199982,32527000,5/12/2017,151.1858597,2.1096955,1
1853,97279,AAPL,156.0099945,155.6999969,152.780899,155.0500031,156.6499939,26009700,5/15/2017,153.4643326,-0.3925019,0
1854,97295,AAPL,155.9400024,155.4700012,152.5552368,154.7200012,156.0599976,20048500,5/16/2017,154.4833755,-0.2256622,0
1855,97300,AAPL,153.6000061,150.25,147.433075,149.7100067,154.5700073,50767700,5/17/2017,153.4138336,-5.1221618,0
1856,97316,AAPL,151.2700043,152.5399933,149.6801453,151.1300049,153.3399963,33568200,5/18/2017,147.1239929,2.2470703,1
1857,97320,AAPL,153.3800049,153.0599976,150.1903839,152.6300049,153.9799957,26960800,5/19/2017,147.0062332,0.5102386,1
1858,97343,AAPL,154,153.9900055,151.1029816,152.9100037,154.5800018,22966400,5/22/2017,148.7528381,0.9125977,1
1859,97347,AAPL,154.8999939,153.8000031,150.9165192,153.3099976,154.8999939,19918900,5/23/2017,152.481636,-0.1864624,0
1860,97365,AAPL,153.8399963,153.3399963,150.4651489,152.6699982,154.1699982,19178000,5/24/2017,151.6279373,-0.4513703,0
1861,97369,AAPL,153.7299957,153.8699951,150.985199,153.0299988,154.3500061,19235600,5/25/2017,150.8282166,0.5200501,1
1862,97386,AAPL,154,153.6100006,150.730072,153.3099976,154.2400055,21701100,5/26/2017,150.6662827,-0.255127,0
1863,97390,AAPL,153.4199982,153.6699982,150.7889557,153.3300018,154.4299927,20126900,5/30/2017,150.7644119,0.0588837,1
1864,97406,AAPL,153.9700012,152.7599945,149.8960114,152.3800049,154.1699982,24451200,5/31/2017,150.9214172,-0.8929443,0
1865,97410,AAPL,153.1699982,153.1799927,150.308136,152.2200012,153.3300018,16404100,6/1/2017,149.7978897,0.4121246,1
1866,97426,AAPL,153.5800018,155.4499969,152.5355988,152.8899994,155.4499969,27770700,6/2/2017,149.8911057,2.2274628,1
1867,97430,AAPL,154.3399963,153.9299927,151.0440674,153.4600067,154.4499969,25331700,6/5/2017,152.2951889,-1.4915314,0
1868,97444,AAPL,153.8999939,154.4499969,151.5543213,153.7799988,155.8099976,26624900,6/6/2017,152.3638611,0.5102539,1
1869,97448,AAPL,155.0200043,155.3699951,152.4570923,154.4799957,155.9799957,21069600,6/7/2017,151.922287,0.902771,1
1870,97463,AAPL,155.25,154.9900055,152.0842133,154.3999939,155.5399933,21250800,6/8/2017,151.9664536,-0.372879,0
1871,97468,AAPL,155.1900024,148.9799957,146.1868744,146.0200043,155.1900024,64882700,6/9/2017,152.7907257,-5.8973389,0
1872,97483,AAPL,145.7400055,145.4199982,142.6936493,142.5099945,146.0899963,72307300,6/12/2017,146.4518204,-3.4932251,0
1873,97487,AAPL,147.1600037,146.5899963,143.8416901,145.1499939,147.4499969,34165400,6/13/2017,139.5585403,1.1480408,1
1874,97503,AAPL,147.5,145.1600037,142.4385071,143.8399963,147.5,31531200,6/14/2017,139.1464081,-1.403183,0
1875,97507,AAPL,143.3200073,144.2899933,141.5848083,142.2100067,144.4799957,32165400,6/15/2017,141.2659149,-0.8536988,0
1876,97524,AAPL,143.7799988,142.2700043,139.6027069,142.1999969,144.5,50361100,6/16/2017,141.4572372,-1.9821014,0
1877,97528,AAPL,143.6600037,146.3399963,143.5963745,143.6600037,146.7400055,32541400,6/19/2017,138.4742661,3.9936676,1
1878,97544,AAPL,146.8699951,145.0099945,142.2913208,144.9400024,146.8699951,24900100,6/20/2017,142.1784744,-1.3050537,0
1879,97552,AAPL,145.5200043,145.8699951,143.1351929,144.6100006,146.0700073,21265800,6/21/2017,143.2971039,0.8438721,1
1880,97566,AAPL,145.7700043,145.6300049,142.899704,145.1199951,146.6999969,19106300,6/22/2017,144.4794998,-0.2354889,0
1881,97571,AAPL,145.1300049,146.2799988,143.5375061,145.1100006,147.1600037,35439400,6/23/2017,142.6691132,0.6378021,1
1882,97587,AAPL,147.1699982,145.8200073,143.0861359,145.3800049,148.2799988,25692400,6/26/2017,143.8416977,-0.4513702,0
1883,97591,AAPL,145.0099945,143.7299957,141.0353088,143.6199951,146.1600037,24761900,6/27/2017,143.2872925,-2.0508271,0
1884,97607,AAPL,144.4900055,145.8300018,143.0959473,143.1600037,146.1100006,22082400,6/28/2017,141.1285248,2.0606385,1
1885,97611,AAPL,144.7100067,143.6799927,140.9862518,142.2799988,145.1300049,31499400,6/29/2017,141.8448486,-2.1096955,0
